# Timestamp, Latitude, Longitude, Accuracy, Speed
#Journey Start
1436404184491,-36.91169259,174.87011074,9.0,13.038404
1436404185531,-36.91172795,174.8699919,9.0,11.543396
1436404186509,-36.91175503,174.86988727,9.0,10.049875
1436404187500,-36.91177541,174.86979449,9.0,8.806957
1436404188501,-36.91179561,174.86971118,9.0,7.3186407
1436404189486,-36.91180036,174.86965972,9.0,5.836309
1436404190507,-36.91181493,174.86960699,9.0,4.854122
1436404191508,-36.91182605,174.86956573,9.0,3.640055
1436404192509,-36.91182871,174.86953505,9.0,2.6925824
1436404193506,-36.91182822,174.86951533,9.0,1.8027756
1436404194494,-36.91183252,174.86950751,9.0,1.118034
1436404195501,-36.9118328,174.86950885,9.0,1.0
1436404196519,-36.91183107,174.86950649,9.0,1.0
1436404197516,-36.91183367,174.86950211,9.0,1.0
1436404198509,-36.91183506,174.86949921,9.0,1.0
1436404199505,-36.91183879,174.86949881,9.0,1.0
1436404200503,-36.91183947,174.86949946,9.0,1.0
1436404201522,-36.91184108,174.86950104,9.0,1.0
1436404202492,-36.91184017,174.86949941,9.0,1.0
1436404203516,-36.91184036,174.86950073,9.0,1.0
1436404204503,-36.91183983,174.86950432,9.0,1.0
1436404205502,-36.91183926,174.86950476,9.0,1.0
1436404206503,-36.91183863,174.86950483,9.0,1.0
1436404207520,-36.91183848,174.86950495,9.0,1.0
1436404208505,-36.91183851,174.86950496,9.0,1.0
1436404209500,-36.9118386,174.86950532,9.0,1.0
1436404210505,-36.91183854,174.86950537,9.0,1.0
1436404211502,-36.91183854,174.86950538,9.0,1.0
1436404212486,-36.91183853,174.86950534,9.0,1.0
1436404213508,-36.91183984,174.86949826,9.0,1.4142135
1436404214517,-36.91185213,174.86946726,9.0,3.8810437
1436404215505,-36.91186943,174.86938763,9.0,6.576473
1436404216497,-36.91188733,174.86927929,9.0,9.055386
1436404217518,-36.91191514,174.86916592,9.0,11.294357
1436404218506,-36.91194508,174.86902803,9.0,12.789156
1436404219515,-36.91197461,174.86886527,9.0,14.035668
1436404220522,-36.9120093,174.86869549,9.0,14.783859
1436404221503,-36.91204357,174.86855683,9.0,15.033297
